event,points
Roland Garros,2000
US Open,2000
Australian Open,2000
Wimbledon,2000
Tour Finals,1500
Monte Carlo Masters,1000
Miami Masters,1000
Indian Wells Masters,1000
Canada Masters,1000
Madrid Masters,1000
Cincinnati Masters,1000
Shanghai Masters,1000
Paris Masters,1000
Rome Masters,1000
New Haven,500
Rio de Janeiro,500
Beijing,500
Hamburg,500
Stuttgart,500
Tokyo,500
Queen's Club,500
Halle,500
Basel,500
Vienna,500
Antwerp,500
Singapore,500
Valencia,500
Rotterdam,500
Barcelona,500
Memphis,500
Dubai,500
Acapulco,500
Sardinia,250
Cologne 1,250
Vina del Mar,250
Bogota,250
Sao Paulo,250
St Petersburg,250
Adelaide,250
Cologne 2,250
Winston-Salem,250
Kitzbuhel,250
Nur-Sultan,250
Great Ocean Road Open,250
Murray River Open,250
Rio De Janeiro,250
Antalya,250
Atp Cup,250
Shenzhen,250
Lyon,250
Istanbul,250
Geneva,250
Nottingham,250
Sofia,250
Marrakech,250
Zhuhai,250
Los Cabos,250
Chengdu,250
Cordoba,250
New York,250
Budapest,250
Pune,250
Quito,250
Brisbane,250
St. Petersburg,250
Montpellier,250
Belgrade,250
Munich,250
Houston,250
Casablanca,250
Delray Beach,250
Marseille,250
Buenos Aires,250
San Jose,250
Costa Do Sauipe,250
Zagreb,250
Santiago,250
Johannesburg,250
Sydney,250
Auckland,250
Doha,250
Estoril,250
Dusseldorf,250
Nice,250
Washington,250
Stockholm,250
Moscow,250
Kuala Lumpur,250
Bangkok,250
Metz,250
Chennai,250
Umag,250
Eastbourne,250
Los Angeles,250
Gstaad,250
Atlanta,250
Bastad,250
Newport,250
s Hertogenbosch,250
Bucharest,250
