match_id,year,slam,match_num,player1,player2,winner,round
2011-ausopen-1101,2011,ausopen,1101,R. Nadal,M. Daniel,1,1
2011-ausopen-1103,2011,ausopen,1103,B. Tomic,J. Chardy,1,1
2011-ausopen-1105,2011,ausopen,1105,J. Isner,F. Serra,1,1
2011-ausopen-1108,2011,ausopen,1108,D. Young,M. Cilic,0,1
2011-ausopen-1112,2011,ausopen,1112,J. Ignacio Chela,M. Llodra,0,1
2011-ausopen-1113,2011,ausopen,1113,D. Nalbandian,L. Hewitt,1,1
2011-ausopen-1114,2011,ausopen,1114,R. Berankis,M. Matosevic,1,1
2011-ausopen-1115,2011,ausopen,1115,M. Russell,M. Ebden,1,1
2011-ausopen-1116,2011,ausopen,1116,J. Nieminen,D. Ferrer,0,1
2011-ausopen-1117,2011,ausopen,1117,R. Soderling,P. Starace,1,1
2011-ausopen-1124,2011,ausopen,1124,P. Petzschner,J. Tsonga,0,1
2011-ausopen-1126,2011,ausopen,1126,C. Ball,P. Riba,0,1
2011-ausopen-1127,2011,ausopen,1127,D. Sela,J. Martin Del Potro,0,1
2011-ausopen-1128,2011,ausopen,1128,G. Zemlja,M. Baghdatis,0,1
2011-ausopen-1132,2011,ausopen,1132,K. Beck,A. Murray,0,1
2011-ausopen-1133,2011,ausopen,1133,T. Berdych,M. Crugnola,1,1
2011-ausopen-1136,2011,ausopen,1136,F. Dancevic,R. Gasquet,0,1
2011-ausopen-1138,2011,ausopen,1138,F. Fognini,K. Nishikori,0,1
2011-ausopen-1140,2011,ausopen,1140,R. Schuettler,F. Verdasco,0,1
2011-ausopen-1144,2011,ausopen,1144,P. Luczak,I. Ljubicic,0,1
2011-ausopen-1148,2011,ausopen,1148,M. Granollers,N. Djokovic,0,1
2011-ausopen-1149,2011,ausopen,1149,A. Roddick,J. Hajek,1,1
2011-ausopen-1152,2011,ausopen,1152,S. Greul,J. Monaco,0,1
2011-ausopen-1153,2011,ausopen,1153,S. Wawrinka,T. Gabashvili,1,1
2011-ausopen-1156,2011,ausopen,1156,T. de Bakker,G. Monfils,0,1
2011-ausopen-1157,2011,ausopen,1157,M. Fish,V. Hanescu,1,1
2011-ausopen-1160,2011,ausopen,1160,L. Kubot,S. Querrey,1,1
2011-ausopen-1163,2011,ausopen,1163,Y. Lu,G. Simon,0,1
2011-ausopen-1164,2011,ausopen,1164,L. Lacko,R. Federer,0,1
2011-ausopen-1201,2011,ausopen,1201,R. Nadal,R. Sweeting,1,2
2011-ausopen-1202,2011,ausopen,1202,B. Tomic,F. Lopez,1,2
2011-ausopen-1203,2011,ausopen,1203,J. Isner,R. Stepanek,1,2
2011-ausopen-1204,2011,ausopen,1204,S. Giraldo,M. Cilic,0,2
2011-ausopen-1205,2011,ausopen,1205,M. Youzhny,B. Kavcic,1,2
2011-ausopen-1206,2011,ausopen,1206,M. Raonic,M. Llodra,1,2
2011-ausopen-1207,2011,ausopen,1207,D. Nalbandian,R. Berankis,0,2
2011-ausopen-1208,2011,ausopen,1208,M. Russell,D. Ferrer,0,2
2011-ausopen-1209,2011,ausopen,1209,R. Soderling,G. Muller,1,2
2011-ausopen-1212,2011,ausopen,1212,A. Seppi,J. Tsonga,0,2
2011-ausopen-1213,2011,ausopen,1213,J. Melzer,P. Riba,1,2
2011-ausopen-1214,2011,ausopen,1214,J. Martin Del Potro,M. Baghdatis,0,2
2011-ausopen-1215,2011,ausopen,1215,G. Garcia-Lopez,E. Schwank,1,2
2011-ausopen-1216,2011,ausopen,1216,I. Marchenko,A. Murray,0,2
2011-ausopen-1217,2011,ausopen,1217,T. Berdych,P. Kohlschreiber,1,2
